Game_ID,Full Description,Category,Studio_Name
8 Ball Pool,"SportsSports game based on billiards.Take on opponents in head-to-head matches of skill and precision in a popular billiards game, challenging players from around the world.Miniclip",Sports,Miniclip
ABCmouse,"EducationalFantasy RPG with epic quests and mythical creatures.Improve brain function through a series of cognitive challenges, puzzles, and exercises aimed at enhancing memory and mental agility.Age of Learning",Educational,Age of Learning
Ace of Arenas,"Multiplayer Online Battle Arena (MOBA)Platformer involving time-based challenges.A multiplayer arena where players choose from a variety of heroes with unique skills, working together to outsmart and defeat their enemies.Gaea Mobile",Multiplayer Online Battle Arena (MOBA),Gaea Mobile
Adventure Capitalist,"Idle GamesStrategy game involving economic management and expansion.Bake cookies, earn upgrades, and grow your cookie empire in a clicker game that’s simple to play but hard to put down.Hyper Hippo Productions",Idle Games,Hyper Hippo Productions
AFK Arena,"Role-Playing Games (RPG)Idle RPG with auto-battle mechanics.A hands-off RPG where players assemble a team of heroes, level up, and battle against powerful enemies while progressing even when offline.Lilith Games",Role-Playing Games (RPG),Lilith Games
Alphabear,"Word GamesWord puzzle game where players spell words to create and level up bears.A unique word puzzle game where players create words to feed bears, solving increasingly difficult challenges in a charming world.Spry Fox",Word Games,Spry Fox
Alto's Adventure,"ArcadeArcade strategy involving tower defense.Snowboard through stunning landscapes, performing tricks and evading obstacles in a visually breathtaking and tranquil endless runner.Team Alto",Arcade,Team Alto
Angry Birds 2,PuzzlePhysics-based puzzle game involving bird-flinging.Launch birds with unique abilities to destroy structures and defeat pig enemies in this comical physics-based puzzle game.Rovio Entertainment,Puzzle,Rovio Entertainment
Another Eden,"Role-Playing Games (RPG)JRPG with time-traveling storyline.Travel through time and dimensions in a grand adventure filled with colorful characters, rich storylines, and turn-based combat.Wright Flyer Studios",Role-Playing Games (RPG),Wright Flyer Studios
Arcaea,"Music/RhythmFirst-person shooter with missions and multiplayer gameplay.A VR rhythm game where players slash blocks to the beat of music, navigating colorful environments while mastering fast-paced tracks.lowiro",Music/Rhythm,lowiro
Arena of Valor,"Multiplayer Online Battle Arena (MOBA)Platformer with endless running mechanics and simple controls.Engage in epic multiplayer battles with iconic heroes, working with your team to destroy enemy towers and bases in this strategic action-packed game.TiMi Studios",Multiplayer Online Battle Arena (MOBA),TiMi Studios
Art of War: Legions,"StrategyStrategy game with tactical army battles.Command your legion of troops in a battle for territory, upgrading units and conquering enemy forces in this fast-paced strategy game.Fastone Games",Strategy,Fastone Games
Asphalt 9: Legends,"RacingRacing game with arcade-style mechanics.Experience high-speed racing in a world of luxury cars, racing through cities and environments while upgrading vehicles for competitive advantage.Gameloft",Racing,Gameloft
Avakin Life,"SimulationCasino game with rewards and prizes.Step into a virtual world where you can socialize, customize your avatar, and explore various locations in a vibrant 3D environment.Lockwood Publishing",Simulation,Lockwood Publishing
